Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
The Blind,"$17,265,487","1,715",Sep 28,/release/rl2123662081/?ref_=bo_yld_table_80,tt16374352,"$4,341,725","1,715",6.2,1771,98,
Guy Ritchie's the Covenant,"$16,938,039","2,631",Apr 21,/release/rl1928692481/?ref_=bo_yld_table_81,tt4873118,"$6,380,188","2,611",7.5,158563,98,83
The Expendables 4,"$16,710,153","3,518",Sep 22,/release/rl2783019777/?ref_=bo_yld_table_82,tt3291150,"$8,039,021","3,518",4.8,35189,70,14
Champions,"$16,397,335","3,039",Mar 10,/release/rl2395767553/?ref_=bo_yld_table_83,tt15339570,"$5,148,740","3,030",6.8,25303,72,
The Iron Claw,"$15,964,922","2,794",Dec 22,/release/rl1537442561/?ref_=bo_yld_table_84,tt21064584,"$4,868,370","2,774",7.7,46638,100,100
Ruby Gillman: Teenage Kraken,"$15,753,600","3,408",Jun 30,/release/rl176587521/?ref_=bo_yld_table_85,tt27155038,"$5,500,990","3,400",5.7,10356,81,65
Jawan,"$15,198,530",826,Sep 7,/release/rl2106360577/?ref_=bo_yld_table_86,tt15354916,"$6,124,963",826,7.0,93390,86,89
Titanic25 Year Anniversary,"$15,033,795","2,464",Feb 10,/release/rl3167650561/?ref_=bo_yld_table_87,tt0120338,"$6,714,684","2,464",7.9,1274681,unknown,unknown
Animal,"$14,772,820",698,Dec 1,/release/rl3300557569/?ref_=bo_yld_table_88,tt13751694,"$6,524,534",698,6.2,86083,,
Dumb Money,"$13,925,356","2,837",Sep 15,/release/rl3028583169/?ref_=bo_yld_table_89,tt13957560,"$220,947",8,6.9,38250,85,84
The Last Voyage of the Demeter,"$13,637,180","2,715",Aug 11,/release/rl2382856961/?ref_=bo_yld_table_90,tt1001520,"$6,504,950","2,715",6.1,46561,75,49
Joy Ride,"$12,897,789","2,820",Jul 7,/release/rl2732688129/?ref_=bo_yld_table_91,tt15268244,"$5,806,277","2,820",6.4,22527,66,74
His Only Son,"$12,392,740","1,930",Mar 31,/release/rl528515841/?ref_=bo_yld_table_92,tt8277246,"$5,501,070","1,920",5.9,2456,96,83
The Whale,"$12,269,350","1,721",Dec 9,/release/rl4040786689/?ref_=bo_yld_table_93,tt13833688,"$332,152",6,7.7,207938,84,86
About My Father,"$12,089,391","2,464",May 26,/release/rl2950791937/?ref_=bo_yld_table_94,tt8373206,"$4,321,148","2,464",5.7,12766,,
Bottoms,"$12,036,071","1,265",Aug 25,/release/rl93946625/?ref_=bo_yld_table_95,tt17527468,"$461,052",10,6.7,39283,89,90
The Shift,"$11,925,234","2,450",Dec 1,/release/rl2219016193/?ref_=bo_yld_table_96,tt19406606,"$4,300,165","2,450",5.6,4375,65,
After Death,"$11,477,621","2,730",Oct 27,/release/rl1236108033/?ref_=bo_yld_table_97,tt21191906,"$5,051,950","2,645",6.2,1472,87,47
Saltburn,"$11,256,512","1,566",Nov 17,/release/rl104955905/?ref_=bo_yld_table_98,tt17351924,"$322,651",7,7.0,194164,79,71
Past Lives,"$11,031,696",906,Jun 2,/release/rl3498410753/?ref_=bo_yld_table_99,tt13238346,"$232,266",4,7.9,106521,84,95
Suzume,"$10,932,037","2,170",Apr 14,/release/rl2163311361/?ref_=bo_yld_table_100,tt16428256,"$5,001,705","2,170",7.6,35992,98,96
Ferrari,"$10,778,480","2,386",Dec 25,/release/rl390496257/?ref_=bo_yld_table_101,tt3758542,"$3,921,773","2,386",6.5,37158,,
The Machine,"$10,458,331","2,409",May 26,/release/rl3287778049/?ref_=bo_yld_table_102,tt11040844,"$5,000,545","2,409",5.8,15226,,
Whitney Houston: I Wanna Dance with Somebody,"$10,451,167","3,625",Dec 23,/release/rl101810945/?ref_=bo_yld_table_103,tt12193804,"$4,700,450","3,625",6.6,22544,92,43
Poor Things,"$10,269,036","2,300",Dec 8,/release/rl3566306049/?ref_=bo_yld_table_104,tt14230458,"$661,230",9,8.0,200010,79,92
The Nightmare Before Christmas30th Anniversary Re-Release,"$10,251,956","2,185",Oct 20,/release/rl2880799489/?ref_=bo_yld_table_105,tt0107688,"$4,292,207","1,650",7.9,373953,unknown,unknown
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$10,117,806","1,774",Mar 3,/release/rl3313664769/?ref_=bo_yld_table_106,tt26537229,"$10,117,806","1,774",7.5,10980,68,75
